order_item_id,order_id,product_id,quantity,unit_price,line_gmv
1,1,15,1,173.9,173.9
2,2,40,1,202.48,202.48
3,3,32,2,12.22,24.44
4,3,30,1,67.9,67.9
5,3,14,1,61.39,61.39
6,4,47,2,21.34,42.68
7,4,8,1,20.47,20.47
8,5,14,1,61.39,61.39
9,6,8,1,20.47,20.47
10,6,14,1,61.39,61.39
11,7,28,1,84.15,84.15
12,7,8,2,20.47,40.94
13,8,8,1,20.47,20.47
14,8,6,1,88.2,88.2
15,9,6,2,88.2,176.4
16,10,15,1,173.9,173.9
17,11,44,1,69.13,69.13
18,12,44,1,69.13,69.13
19,13,19,1,152.53,152.53
20,13,35,1,157.65,157.65
21,13,12,2,117.99,235.98
22,14,20,1,42.3,42.3
23,14,8,1,20.47,20.47
24,14,21,1,78.32,78.32
25,15,14,2,61.39,122.78
26,16,31,1,19.71,19.71
27,17,36,1,53.45,53.45
28,18,40,1,202.48,202.48
29,19,14,1,61.39,61.39
30,19,40,3,202.48,607.44
31,19,11,2,115.23,230.46
32,20,44,1,69.13,69.13
33,20,13,1,34.71,34.71
34,21,8,2,20.47,40.94
35,22,43,1,24.61,24.61
36,23,25,1,43.73,43.73
37,24,10,1,163.05,163.05
38,25,40,1,2429.76,2429.76
39,26,19,1,152.53,152.53
40,27,23,1,83.16,83.16
41,27,10,2,163.05,326.1
42,28,23,2,83.16,166.32
43,29,28,2,84.15,168.3
44,30,14,1,61.39,61.39
45,31,33,2,171.28,342.56
46,32,46,1,125.88,125.88
47,33,36,1,53.45,53.45
48,34,36,1,53.45,53.45
49,35,13,1,34.71,34.71
50,36,32,1,12.22,12.22
51,36,10,1,163.05,163.05
52,36,35,1,157.65,157.65
53,37,23,1,83.16,83.16
54,38,44,1,69.13,69.13
55,39,8,1,20.47,20.47
56,40,32,1,12.22,12.22
57,40,15,1,173.9,173.9
58,41,11,3,115.23,345.69
59,42,28,1,84.15,84.15
60,43,35,1,157.65,157.65
61,44,35,2,157.65,315.3
62,45,43,2,24.61,49.22
63,46,9,1,59.69,59.69
64,46,25,1,43.73,43.73
65,47,21,1,78.32,78.32
66,48,14,1,61.39,61.39
67,48,36,1,53.45,53.45
68,49,26,1,124.26,124.26
69,50,25,3,43.73,131.19
70,51,12,1,117.99,117.99
71,52,14,1,61.39,61.39
72,53,36,1,53.45,53.45
73,54,19,2,152.53,305.06
74,54,8,1,20.47,20.47
75,55,29,1,9.2,9.2
76,55,26,1,124.26,124.26
77,56,12,1,117.99,117.99
78,56,25,1,43.73,43.73
79,57,20,1,42.3,42.3
80,58,19,1,152.53,152.53
81,59,40,3,202.48,607.44
82,60,28,1,84.15,84.15
83,61,25,2,43.73,87.46
84,62,27,1,24.68,24.68
85,63,5,2,61.15,122.3
86,63,36,1,53.45,53.45
87,64,25,1,43.73,43.73
88,64,31,1,19.71,19.71
89,65,35,1,157.65,157.65
90,66,22,1,75.66,75.66
91,67,47,1,21.34,21.34
92,67,15,2,173.9,347.8
93,68,13,2,34.71,69.42
94,68,11,1,115.23,115.23
95,68,23,1,83.16,83.16
96,69,22,1,75.66,75.66
97,70,20,1,42.3,42.3
98,71,34,1,43.74,43.74
99,72,3,1,57.71,57.71
100,73,22,1,75.66,75.66
101,73,21,1,78.32,78.32
102,74,43,1,24.61,24.61
103,75,20,1,42.3,42.3
104,75,33,1,171.28,171.28
105,76,42,2,138.05,276.1
106,76,8,1,20.47,20.47
107,77,3,1,57.71,57.71
108,78,43,1,24.61,24.61
109,78,20,1,42.3,42.3
110,79,12,2,117.99,235.98
111,79,36,2,53.45,106.9
112,80,14,3,61.39,184.17
113,81,45,1,31.58,31.58
114,82,47,1,21.34,21.34
115,83,43,2,24.61,49.22
116,83,13,1,34.71,34.71
117,84,13,1,34.71,34.71
118,85,15,2,173.9,347.8
119,86,13,2,34.71,69.42
120,87,31,1,19.71,19.71
